tag_name,tag_type,is_array,array_size,array_start_index,array_end_index,dimensions
All_EStop_Active,BOOL,0,,,,-
ALL_EStop_Channel_Healthy,BOOL,0,,,,-
Alrm_McAir_Prsnot_Ok,TIMER,0,,,,-
Alrm_SerAir_Prsnot_Ok,TIMER,0,,,,-
Alrm_TSfwd_Prsnot_Ok,TIMER,0,,,,-
AlwaysOff,BOOL,0,,,,-
AlwaysOn,BOOL,0,,,,-
AMES_Interlock_2nd_Stage,BOOL,0,,,,-
AMES_Interlock_Active,BOOL,0,,,,-
AMES_Interlock_Enable,BOOL,0,,,,-
AMES_Interlock_Status,INT,0,,,,-
AOI_SLS_CCDR,AOI_SAFE_LIMITED_SPEED,0,,,,-
AOI_TPRL,UDT_AOICIPAXIS,0,,,,-
ApolloCheck,DINT,0,,,,-
Array,DINT,0,,,,-
Auto_Cycle_Start,BOOL,0,,,,-
Auto_Cycle_Start_IPB,BOOL,0,,,,-
Auto_Phase_Start,BOOL,0,,,,-
AUX_Ax_TPRL_SUPPRESS_FAULT,BOOL,0,,,,-
AUX_CCDR_DRIVE_SAFE_STOP_RESET,BOOL,0,,,,-
AUX_CCPR_CURRENT_PHASE_P3,BOOL,0,,,,-
AUX_CMD_TPRL_MOVE_TO_DRUM,BOOL,0,,,,-
AUX_CMD_TPRL_MOVE_TO_HOME,BOOL,0,,,,-
AUX_CMD_TPRL_MOVE_TO_PREPOSITION,BOOL,0,,,,-
AUX_COND_TPRL_MOVE_TO_DRUM,BOOL,0,,,,-
AUX_COND_TPRL_MOVE_TO_HOME,BOOL,0,,,,-
AUX_COND_TPRL_MOVE_TO_PREPOSITION,BOOL,0,,,,-
AUX_DRUM_STANDSTILL_VELOCITY,REAL,0,,,,-
AUX_MACHINE_RESET_ESTOP_PRESSED,BOOL,0,,,,-
AUX_SAFE_CONTROL_VOLTAGE_ON,BOOL,0,,,,-
AUX_TPRL_AT_DRUM,BOOL,0,,,,-
AUX_TPRL_AT_HOME,BOOL,0,,,,-
AUX_TPRL_AT_PREPOSITION,BOOL,0,,,,-
AVERAGE_CYCLE_TIME,DINT,0,,,,-
AVG_CYCLE_TIME_CALC,CONTROL,0,,,,-
AWS_BEAD_PLACING_COMPLETED,BOOL,0,,,,-
Axis_State,SINT,1,15,0,14,15
AX_TPRL,AXIS_CIP_DRIVE,0,,,,-
Ax_TPRL:S,AB:MOTION_DIAGNOSTICS:S:1,0,,,,-
Ax_TPRL_FP,AOI_CIPFACEPLATE,0,,,,-
Ax_TPRL_FP1,AOI_CIPFACEPLATE_V01,0,,,,-
A_DATA_1,CONTROL,0,,,,-
A_DATA_2,CONTROL,0,,,,-
A_DATA_3,CONTROL,0,,,,-
A_DATA_4,CONTROL,0,,,,-
A_DATA_5,CONTROL,0,,,,-
A_DATA_6,CONTROL,0,,,,-
A_DATA_7,CONTROL,0,,,,-
A_DATA_8,CONTROL,0,,,,-
A_SHIFT,STRING,0,,,,-
A_SHIFT_DATA_1,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_2,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_3,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_4,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_5,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_6,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_7,PROD_DATA_V1,1,100,0,99,100
A_SHIFT_DATA_8,PROD_DATA_V1,1,100,0,99,100
B,DWORD,1,1,0,0,1
BALANCE_LENGTH,DINT,0,,,,-
Barcode_count,COUNTER,0,,,,-
BARCODE_CT,STRING,1,10,0,9,10
Barcode_laser_off,BOOL,0,,,,-
Barcode_laser_on,BOOL,0,,,,-
Barcode_laser_OnOff,TOGGLE,0,,,,-
Barcode_not_sense_alarm,BOOL,0,,,,-
Barcode_P15_Bypass,BOOL,0,,,,-
Barcode_P15_HandShake,DINT,0,,,,-
Barcode_P15_Reset,DINT,0,,,,-
Barcode_scan_start,BOOL,0,,,,-
BEAD_BLOW_CT,REAL,0,,,,-
BEAD_INSERT_OP_DELAY_TIME,REAL,0,,,,-
BEAD_PLACING_CT,REAL,0,,,,-
BEAD_SET_CYCLE_TIME,REAL,0,,,,-
BP1_CUTTER_SET_LIMIT,DINT,0,,,,-
BP1_REPLACE_TOLERANCE,DINT,0,,,,-
BP1_TOLERANCE_RESET,DINT,0,,,,-
BP2_CUTTER_SET_LIMIT,DINT,0,,,,-
BP2_REPLACE_TOLERANCE,DINT,0,,,,-
BP2_TOLERANCE_RESET,DINT,0,,,,-
Branson,BOOL,0,,,,-
Bypass_Safety,DINT,0,,,,-
B_DATA_1,CONTROL,0,,,,-
B_DATA_2,CONTROL,0,,,,-
B_DATA_3,CONTROL,0,,,,-
B_DATA_4,CONTROL,0,,,,-
B_DATA_5,CONTROL,0,,,,-
B_DATA_6,CONTROL,0,,,,-
B_DATA_7,CONTROL,0,,,,-
B_DATA_8,CONTROL,0,,,,-
B_SHIFT,STRING,0,,,,-
B_SHIFT_DATA_1,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_2,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_3,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_4,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_5,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_6,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_7,PROD_DATA_V1,1,100,0,99,100
B_SHIFT_DATA_8,PROD_DATA_V1,1,100,0,99,100
Calibration_MRP,MOTION_INSTRUCTION,0,,,,-
Calibration_Turnup_HS,AOI_AXISCALIBRATION,0,,,,-
Calibration_Turnup_TS,AOI_AXISCALIBRATION,0,,,,-
Calib_TPRL,UDT_CALIBCD,0,,,,-
CARCASS_DRUM_MAX_TQ,DINT,0,,,,-
CARCASS_DRUM_MIN_TQ,DINT,0,,,,-
CARCASS_DRUM_TQ_FB,DINT,0,,,,-
CARCASS_DRUM_TQ_RESET,BOOL,0,,,,-
CATL_REQ_SIMULATE,DINT,0,,,,-
CATL_SIM_BIT,DINT,0,,,,-
CCDR_EXP_DELAY,TIMER,0,,,,-
CC_Drum:S,AB:MOTION_DIAGNOSTICS:S:1,0,,,,-
CC_Drum_Flow_Fdbk,REAL,0,,,,-
CC_Drum_Flow_Fdbk_Previous,REAL,0,,,,-
CD_HDW_IO_ENABLE,SINT,1,32,0,31,32
CD_HDW_OT_IO_GET_STS_TPRL,SINT,1,32,0,31,32
Check_Pro,PRO_LOG,0,,,,-
CIP_DIAG_DEVICE_NUMBER,DINT,0,,,,-
CIP_Module_Ok,BOOL,0,,,,-
Clear_ManFnc_Bits,BOOL,0,,,,-
CMD_AUTOSTOP_TPRL_MOVE_TO_PREPOSITION,BOOL,0,,,,-
CMD_AXIS_TPRL_DISABLE,BOOL,0,,,,-
CMD_AXIS_TPRL_HOLD,BOOL,0,,,,-
CMD_AXIS_TPRL_LOOK_FOR_HOME,BOOL,0,,,,-
CMD_AXIS_TPRL_SET_REFERENCE,BOOL,0,,,,-
CMD_CCDR_AUTO_START_MAN_DELAY,BOOL,0,,,,-
CMD_CCPR_APPLY_IL,BOOL,0,,,,-
CMD_CCPR_APPLY_P1,BOOL,0,,,,-
CMD_CCPR_APPLY_P2,BOOL,0,,,,-
CMD_CCPR_APPLY_P3,BOOL,0,,,,-
CMD_CCPR_APPLY_SW,BOOL,0,,,,-
CMD_CC_Drum_REV,BOOL,0,,,,-
Cmd_Contour_Stchr_Fault_Reset,BOOL,0,,,,-
Cmd_Disk_Stchr_Fault_Reset,BOOL,0,,,,-
Cmd_Drum_Axis_Fault_Reset,BOOL,0,,,,-
CMD_HMI_CC_RESET,BOOL,0,,,,-
Cmd_IL_Axis_Fault_Reset,BOOL,0,,,,-
Cmd_IL_Knife_Axis_Fault_Reset,BOOL,0,,,,-
Cmd_Laser_Fault_Reset,BOOL,0,,,,-
Cmd_P1_Axis_Fault_Reset,BOOL,0,,,,-
Cmd_P2_Axis_Fault_Reset,BOOL,0,,,,-
Cmd_ply1_cut_cmd,BOOL,0,,,,-
Cmd_RRD_Broad_Fault_Reset,BOOL,0,,,,-
Cmd_RRD_Left_Fault_Reset,BOOL,0,,,,-
Cmd_RRD_Radial_Fault_Reset,BOOL,0,,,,-
Cmd_RRD_Right_Fault_Reset,BOOL,0,,,,-
CMD_SAFE_CCDR_NO_LIM_DIRECTION,BOOL,0,,,,-
CMD_Safe_Control_Voltage_OFF,BOOL,0,,,,-
CMD_SAFE_RESET_ESTOP,BOOL,0,,,,-
CMD_Safe_SW_Conveyor_Front_EStop_Reset,BOOL,0,,,,-
CMD_SLS_CCDR_RESET,BOOL,0,,,,-
Cmd_SW_PP_Axis_Reset,BOOL,0,,,,-
CMD_TPRL_CALIB_ENABLE,BOOL,0,,,,-
CMD_TPRL_CLEAR_AXIS_FAULT,BOOL,0,,,,-
CMD_TPRL_MOVE_TO_DRUM,BOOL,0,,,,-
CMD_TPRL_MOVE_TO_HOME,BOOL,0,,,,-
CMD_TPRL_MOVE_TO_PREPOSITION,BOOL,0,,,,-
CMD_TPRL_REQ_TO_STO,BOOL,0,,,,-
CMD_TPRL_STO_RESET_REQ,BOOL,0,,,,-
Cmd_Tray_Front_Roller_Down,BOOL,0,,,,-
Cmd_Tray_Front_Roller_Up,BOOL,0,,,,-
Cmd_TurnUp_HS_Axis_Reset,BOOL,0,,,,-
Cmd_TurnUp_TS_Axis_Reset,BOOL,0,,,,-
CM_TPRL_MANUAL_COMMAND,BOOL,0,,,,-
CommunicationSts_AX_TPRL,DINT,0,,,,-
CommunicationSts_LOST_AX_TPRL,BOOL,0,,,,-
CommunicationSts_LOST_CCDrum,BOOL,0,,,,-
CommunicationSts_LOST_ContourStitcher,BOOL,0,,,,-
CommunicationSts_LOST_DiskStitcher,BOOL,0,,,,-
CommunicationSts_LOST_Festo_IL_GU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_IL_Tray,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Laser_Light,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply1_CU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply1_GU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply1_Tray,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply2_CU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply2_GU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply2_Tray,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply3_CU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply3_GU,BOOL,0,,,,-
CommunicationSts_LOST_Festo_Ply3_Tray,BOOL,0,,,,-
CommunicationSts_LOST_ILConv,BOOL,0,,,,-
CommunicationSts_LOST_ILKnife,BOOL,0,,,,-
CommunicationSts_LOST_IL_Centering_Unit,BOOL,0,,,,-
CommunicationSts_LOST_Ply1Conv,BOOL,0,,,,-
CommunicationSts_LOST_Ply2Conv,BOOL,0,,,,-
CommunicationSts_LOST_Ply3Conv,BOOL,0,,,,-
CommunicationSts_LOST_RIO_01,BOOL,0,,,,-
CommunicationSts_LOST_RIO_02,BOOL,0,,,,-
CommunicationSts_LOST_RIO_04,BOOL,0,,,,-
CommunicationSts_LOST_RIO_05,BOOL,0,,,,-
CommunicationSts_LOST_RIO_06,BOOL,0,,,,-
CommunicationSts_LOST_RIO_07,BOOL,0,,,,-
CommunicationSts_LOST_RIO_08,BOOL,0,,,,-
CommunicationSts_LOST_RIO_09,BOOL,0,,,,-
CommunicationSts_LOST_RIO_10,BOOL,0,,,,-
CommunicationSts_LOST_RIO_11,BOOL,0,,,,-
CommunicationSts_LOST_RIO_12,BOOL,0,,,,-
CommunicationSts_LOST_RRDBroad,BOOL,0,,,,-
CommunicationSts_LOST_RRDLeft,BOOL,0,,,,-
CommunicationSts_LOST_RRDRight,BOOL,0,,,,-
CommunicationSts_LOST_RRD_Radial,BOOL,0,,,,-
CommunicationSts_LOST_SW_Left,BOOL,0,,,,-
CommunicationSts_LOST_SW_PP,BOOL,0,,,,-
CommunicationSts_LOST_SW_Right,BOOL,0,,,,-
CommunicationSts_LOST_TurnupHS,BOOL,0,,,,-
CommunicationSts_LOST_TurnupTS,BOOL,0,,,,-
CommunicationSts_LOST_VFD_IL_LetOff,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply1_Cutter,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply1_LetOff,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply2_Cutter,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply2_LetOff,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply3_Cutter,BOOL,0,,,,-
CommunicationSts_LOST_VFD_Ply3_LetOff,BOOL,0,,,,-
CommunicationSts_LOST_VFD_SW_Conv,BOOL,0,,,,-
CommunicationSts_LOST_VFD_SW_LetOff,BOOL,0,,,,-
CommunicationSts_RIO_NOk,BOOL,0,,,,-
Comm_Lost_IQ,BOOL,0,,,,-
ConnSts_Centering_Unit_Module,DINT,0,,,,-
ConnSts_CIP_Module,DINT,0,,,,-
ConnSts_Ethernet_Module,DINT,0,,,,-
ConnSts_Rio11_Adp,DINT,0,,,,-
ConnSts_Rio12_Adp,DINT,0,,,,-
ConnSts_RIOs_Module,DINT,0,,,,-
CONST_MPM_TO_MMSEC,REAL,0,,,,-
CONTOURSTITCHER_MAX_TQ,DINT,0,,,,-
CONTOURSTITCHER_MIN_TQ,DINT,0,,,,-
CONTOURSTITCHER_TQ_FB,DINT,0,,,,-
CONTOURSTITCHER_TQ_RESET,BOOL,0,,,,-
CONTOUR_CT_MACHINE,REAL,0,,,,-
CONTOUR_CT_MAN,REAL,0,,,,-
Contour_Stitcher_Hi_Pr,TIMER,0,,,,-
Contour_Stitcher_Set_Pressure,REAL,0,,,,-
ContrStchr_start,BOOL,0,,,,-
Conv_Perm2_1,MASRA_MC3617_2018,0,,,,-
Conv_Ultrasonic_Gen_Power_Coun,REAL,0,,,,-
count,DINT,0,,,,-
count2,DINT,0,,,,-
count3,DINT,0,,,,-
count4,DINT,0,,,,-
Counter_Reset_IL,BOOL,0,,,,-
Counter_Reset_Ply1,BOOL,0,,,,-
Counter_Reset_Ply2,BOOL,0,,,,-
Counter_Reset_SW,BOOL,0,,,,-
Countour_Stitch:S,AB:MOTION_DIAGNOSTICS:S:1,0,,,,-
CPAR_IL_TRAY_OFFSET,REAL,0,,,,-
CPAR_PLY1_TRAY_OFFSET,REAL,0,,,,-
CPAR_PLY2_TRAY_OFFSET,REAL,0,,,,-
CPAR_PLY3_TRAY_OFFSET,REAL,0,,,,-
CR,DINT,0,,,,-
CROUT_CCDR_DRIVE_SAFE_STOP,CONFIGURABLE_ROUT,0,,,,-
CRS_Download_Ack,BOOL,0,,,,-
CRS_Download_Busy,BOOL,0,,,,-
CRS_Download_Complete,BOOL,0,,,,-
CRS_Download_Enable,BOOL,0,,,,-
CRS_Download_Error,BOOL,0,,,,-
CRS_Download_OS,BOOL,0,,,,-
CRS_Download_Request,BOOL,0,,,,-
CRS_Download_Result,DINT,0,,,,-
CRS_Last_Download_Time,STRING,0,,,,-
CRS_Last_Download_Time_NotUsed,STRING,1,40,0,39,40
CRS_Last_Download_User,STRING,0,,,,-
CRS_Last_Download_User_NotUsed,STRING,1,40,0,39,40
CRS_Recipe_Code,STRING,0,,,,-
CRS_Recipe_Code_NotUsed,STRING,1,40,0,39,40
CRS_Recipe_Data,REAL,1,500,0,499,500
CRS_Test_Length,REAL,0,,,,-
CRS_Test_Machine_In_Manual,BOOL,0,,,,-
CRS_Test_Recipe_Data,REAL,1,500,0,499,500
CRS_Test_Recipe_No,DINT,0,,,,-
CRS_Test_Speed,REAL,0,,,,-
CRS_Test_Width,REAL,0,,,,-
CT,REAL,1,13,0,12,13
CTHist,REAL,1,13000,0,12999,1 x 1000 x 13
CTHistory,REAL,1,13000,0,12999,1000 x 13
CTU,COUNTER,0,,,,-
CTUD_Recipe,FBD_COUNTER,0,,,,-
CT_FFL_Control,CONTROL,0,,,,-
CT_FFL_Ctrl,CONTROL,1,13,0,12,13
CT_History,REAL,1,500,0,499,500
CT_Ph0,TIMER,0,,,,-
CT_Ph1,TIMER,0,,,,-
CT_Ph2,TIMER,0,,,,-
CT_Ph3,TIMER,0,,,,-
CT_Ph4,TIMER,0,,,,-
CT_Ph5,TIMER,0,,,,-
CT_Ph6,TIMER,0,,,,-
CT_Ph7,TIMER,0,,,,-
CT_Ph8,TIMER,0,,,,-
CT_Ph9,TIMER,0,,,,-
CT_Time,DATETIME_TYPE,0,,,,-
CurrentUserName,STRING,0,,,,-
CURRENT_PHASE,DINT,0,,,,-
Current_Step,DINT,0,,,,-
Cutter_Safety_Curtain_Timer,TIMER,0,,,,-
Cycle_Complete,BOOL,0,,,,-
Cycle_Complete_Aux,BOOL,0,,,,-
Cycle_Complete_Latch,BOOL,0,,,,-
Cycle_Time,TIMER,0,,,,-
